Datetime,index,Open,High,Low,Close,Volume
2025-06-02 05:40:00-04:00,170,104696.8,104696.9,104547.6,104556.1,439.766
2025-06-02 05:35:00-04:00,171,104832.3,104838.7,104584.5,104696.8,626.409
2025-06-02 05:30:00-04:00,172,104680.4,104859.7,104580.0,104832.3,1630.247
2025-06-02 05:25:00-04:00,173,104792.8,104792.8,104680.4,104680.5,434.407
2025-06-02 05:20:00-04:00,174,104741.8,104823.7,104684.9,104792.7,1133.225
2025-06-02 05:15:00-04:00,175,104846.1,104846.1,104650.0,104741.8,1216.517
2025-06-02 05:10:00-04:00,176,104888.2,104900.0,104725.0,104846.1,1074.066
2025-06-02 05:05:00-04:00,177,105211.0,105211.1,104760.0,104888.3,4105.827
2025-06-02 05:00:00-04:00,178,105290.1,105296.5,105140.0,105211.1,592.522
2025-06-02 04:55:00-04:00,179,105236.5,105334.6,105231.2,105290.0,488.768
2025-06-02 04:50:00-04:00,180,105403.6,105403.6,105190.5,105236.6,984.318
2025-06-02 04:45:00-04:00,181,105448.8,105497.1,105399.6,105403.5,466.332
2025-06-02 04:40:00-04:00,182,105536.0,105555.0,105415.0,105448.7,712.041
2025-06-02 04:35:00-04:00,183,105681.2,105690.0,105492.6,105536.0,1672.63
2025-06-02 04:30:00-04:00,184,105763.1,105848.6,105680.1,105681.2,1012.941
2025-06-02 04:25:00-04:00,185,105514.7,105900.0,105503.5,105763.2,3163.914
2025-06-02 04:20:00-04:00,186,105400.0,105532.5,105392.1,105514.6,308.164
2025-06-02 04:15:00-04:00,187,105476.0,105510.0,105400.0,105400.0,250.235
2025-06-02 04:10:00-04:00,188,105439.8,105499.9,105377.0,105476.0,361.793
2025-06-02 04:05:00-04:00,189,105385.1,105544.2,105385.1,105439.6,644.744
2025-06-02 04:00:00-04:00,190,105346.4,105400.0,105300.4,105385.1,436.557
2025-06-02 03:55:00-04:00,191,105300.0,105346.5,105241.3,105346.4,233.842
2025-06-02 03:50:00-04:00,192,105291.5,105329.0,105283.9,105300.1,124.578
2025-06-02 03:45:00-04:00,193,105382.2,105398.5,105266.5,105291.5,269.783
2025-06-02 03:40:00-04:00,194,105285.1,105388.8,105231.5,105382.2,437.076
2025-06-02 03:35:00-04:00,195,105200.2,105289.7,105139.9,105285.2,241.817
2025-06-02 03:30:00-04:00,196,105230.4,105230.5,105149.7,105200.3,551.422
2025-06-02 03:25:00-04:00,197,105319.8,105329.8,105215.5,105230.4,271.93
2025-06-02 03:20:00-04:00,198,105320.1,105354.4,105299.8,105319.8,331.138
2025-06-02 03:15:00-04:00,199,105244.2,105349.6,105210.4,105320.1,345.971
2025-06-02 03:10:00-04:00,200,105249.8,105280.0,105215.4,105244.2,459.954
2025-06-02 03:05:00-04:00,201,105264.3,105317.5,105238.9,105249.8,416.822
2025-06-02 03:00:00-04:00,202,105133.4,105288.0,105123.3,105264.3,436.342
2025-06-02 02:55:00-04:00,203,105126.8,105140.8,105068.0,105133.5,356.717
2025-06-02 02:50:00-04:00,204,105158.0,105203.8,105126.1,105126.7,523.323
2025-06-02 02:45:00-04:00,205,105114.8,105245.0,105066.1,105158.1,770.806
2025-06-02 02:40:00-04:00,206,104935.3,105136.4,104925.1,105114.8,1131.524
2025-06-02 02:35:00-04:00,207,104900.0,104935.4,104855.0,104935.4,313.45
2025-06-02 02:30:00-04:00,208,104911.8,104947.1,104869.3,104900.0,363.611
2025-06-02 02:25:00-04:00,209,104868.0,104937.4,104850.0,104911.9,363.611
2025-06-02 02:20:00-04:00,210,104709.2,104868.1,104709.2,104868.1,510.685
2025-06-02 02:15:00-04:00,211,104795.4,104795.4,104695.5,104709.2,414.773
2025-06-02 02:10:00-04:00,212,104831.1,104831.1,104770.0,104795.3,269.643
2025-06-02 02:05:00-04:00,213,104892.0,104892.0,104806.0,104831.1,306.841
